"KRAJ";"ŽADATEL";"KATEGORIE";"PROJEKT";"POPIS";"NÁKLADY";"DOTACE %";"DOTACE";"STRATEGICKÝ"
"Moravskoslezský";"Marlin, s.r.o.";"MSP (0–249)";"PROGRES";"Projekt se zaměřuje na podporu vzdělávání kvalifikované pracovní síly, která je schopna uplatnit se na restruktualizovaném trhu práce. V první fázi se projekt zaměřuje se na výchovu a certifikaci nových kariérových poradců pro žáky, studenty a dospělé. Po";50;"?";"?";"NE"
"Moravskoslezský";"Moravskoslezské energetické centrum, příspěvková organizace";"Kraj a jejich PO vč. agentur";"Centrum veřejných energetiků";"Centrum veřejných energetiků (CVE, síť veřejných energetiků) bude v rámci celého Moravskoslezského kraje (MSK) poskytovat poradenství v oblasti energetiky a čisté mobility pro města, obce, malé a střední podniky (cílové skupiny) s cílem transformace energ";200;"?";"?";"ANO"
"Moravskoslezský";"Úřad práce ČR, krajská pobočka v Ostravě";"Organizační složky státu ";"Podpora adaptability a zaměstnanosti v MSK";"Hlavním aspektem projektu je zvýšení zaměstnanosti a uplatnitelsnosti osob, které přišly o zaměstnání zejména z důvodu strukturální transformace ekonomiky spojené s přechodem k nízkouhlíkové či klimaticky neutrální ekonomice, nebo které jsou z těchto důvo";399,7;"?";"?";"NE"
"Moravskoslezský";"Moravskoslezský kraj";"Kraj a jejich PO vč. agentur";"Technologická a podnikatelská akademie a digitální, inovační a mediální laboratoř (TPA a DIMLab)";"Pro transformaci MSK je nezbytné podpořit zvýšení kvality středního a vysokého školství, zajistit, aby dobře reagovalo na vývoj technických a technologických trendů, popularizovat VaV a prohloubit spolupráci vzdělávacího a firemního sektoru. Cílem projekt";1220;"?";"?";"ANO"
"Moravskoslezský";"Dolní oblast Vítkovice, z.s.";"Veřejně prospěšná činnost (neziskovky)";"Education District";"Education District naplňuje vizi kraje jako chytrého a zeleného regionu, který je atraktivní pro všechny cílové skupiny. Projekt je předpokladem pro úspěšnou transformaci kraje, protože díky novému systému celoživotního a neformálního vzdělávání a demonst";496,3;"?";"?";"ANO"
"Moravskoslezský";"MATERIÁLOVÝ A METALURGICKÝ VÝZKUM s.r.o.";"MSP (0–249)";"CirkArena - Circular Economy R&D Centre";"Cílem projektu je vytvořit novou nezbytnou vědeckou infrastrukturu, výzkumně-vývojové centrum pro cirkulární ekonomiku, kompetenční centrum, v němž budou soustředěny vědecké, výzkumné a vývojové kapacity včetně systému národních referenčních laboratoří pr";2199;"?";"?";"ANO"
"Moravskoslezský";"Moravskoslezský kraj";"Kraj a jejich PO vč. agentur";"Dynamický dopravní dispečink Moravskoslezského kraje";"Účelem projektu je vytvořit systém on-line Dynamického dopravního dispečinku MSK (dále jen ""DDD"") pro řízení, monitorování a diagnostiku dopravy a energetických zdrojů, který bude vybaven call centrem, moderním  datově analytickým centrem (významná nástav";269;"?";"?";"NE"
"Moravskoslezský";"Statutární město Ostrava";"Obce a jejich PO";"Koncertní sál Ostrava";"Projekt je zaměřen na obnovu budovy Domu kultury města Ostravy a přístavbu Koncertního sálu. Objekt byl v minulosti využíván pracujícími v těžkém průmyslu a po uzavření dolů na Ostravsku a útlumu těžkého průmyslu chátrá. Cílem projektu je vytvoření centra";2300;"?";"?";"NE"
"Moravskoslezský";"Statutární město Karviná";"Obce a jejich PO";"Green Urban Farming Academy Karviná";"Předmětem projektu je vybudování unikátního ekosystému na podporu sociální transformace obyvatel Karvinska v duchu GREEN IS NEW BLACK. Projekt zahrnuje unikátní systém technologicky vyspělých hydroponických skleníků, které poskytnou prostor pro zapojení u";204;"?";"?";"NE"
"Moravskoslezský";"Statutární město Frýdek Místek";"Obce a jejich PO";"Osmička F≈M - transformace brownfieldu na multifunkční objekt";"V současnosti nevyužívaný objekt bývalého závodu Slezan 08 ve Frýdku-Místku (původně Přádelna bavlny bratří Neumannů z roku 1890) bude transformován tak, aby získal nové udržitelné využití, jehož funkce se budou navzájem doplňovat a vytvoří tak novou auto";200;"?";"?";"NE"
"Moravskoslezský";"Statutární město Karviná";"Obce a jejich PO";"PED – energeticky plusová čtvrť v Karviné";"Předmětem projektu je vybudování energeticky plusové čtvrti (zkr. PED) v Karviné, která prostřednictvím řady technologických a organizačních inovací dosahuje energeticky plusové bilance a současně nabízí vysoký standard kvality života. Vybrané objekty bud";360,4;"?";"?";"NE"
"Moravskoslezský";"Moravskoslezský kraj";"Kraj a jejich PO vč. agentur";"Černá kostka - Centrum digitalizace, vědy a inovací";"Černá kostka – centrum digitalizace, vědy a inovací svým zaměřením naplňuje vizi přechodu kraje „od coal mining k data mining“. Nové sídlo Moravskoslezské vědecké knihovny v Ostravě nabídne služby moderní vzdělávací instituce, která bude vyvíjet a aplikov";1946;"?";"?";"ANO"
"Moravskoslezský";"WF Group SICAV a.s.";"MSP (0–249)";"Obnova brownfieldů a výstavba edukační kolonády v  historických lázních  Darkov po ukončení těžby černého uhlí";"Cílem projektu je znovuoživení historické léčebny Darkov (HLD), která je výrazně postižena důlní činností a byla odkázána k zániku. Plánované rekonstrukce budov, které jsou brownfieldy a výstavba nové interaktivní  kolonády v místě původní, která padla za";450;"?";"?";"NE"
"Moravskoslezský";"Statutární město Karviná";"Obce a jejich PO";"Nové Staré Město";"V rámci projektu dojde k revitalizaci lokality Staré Město v Karviné. Smyslem projektu je vyrovnání se  s dopady transformace regionu a vytvoření podmínek pro péči o starší i o rodiny s dětmi, zvýšení zaměstnanosti a zamezení odlivu obyvatel z města. Loka";999,9;"?";"?";"NE"
"Moravskoslezský";"TRAFIN OIL a.s.";"MSP (0–249)";"TRAFIN OIL - velkokapacitní závod na zpracování a recyklaci odpadních jedlých olejů";"Jde o vybudování velkokapacitního závodu na zpracování a recyklaci odpadních jedlých olejů a tuků. Díky realizaci projektu dojde k zásadnímu navýšení kapacit podniku žadatele, společnosti TRAFIN OIL a.s. Součástí tohoto investičního projektu je také založ";490,7;"?";"?";"NE"
"Moravskoslezský";"Ivančice property a.s. ";"MSP (0–249)";"Boutique Business Inkubátor Ostravica ";"Vybudování kvalitní inovační infrastruktury zaměřené na zvýšení inovačního potenciálu MSK  prostřednictvím organického propojení oborů kulturních a kreativních průmyslů s již existujícími inovačními kapacitami. Klíčovým aspektem pro naplnění tohoto cíle j";295,3;"?";"?";"NE"
"Moravskoslezský";"TŘINECKÉ ŽELEZÁRNY, a. s.";"VP (250+)";"Tyčová ocel pro ELEKTROMOBILITU";"Podstatou projektu je modernizace technologického zařízení kontijemné tratě v Třineckých železárnách, která zvýší  konkurenceschopnost firmy především v oblasti výroby nezbytných komponentů pro ekologizaci automobilového průmyslu zejména v oblasti rozvoje";3015;"?";"?";"NE"
"Moravskoslezský";"Ostravská univerzita";"Vysoké školy a výzkumné organizace";"Life & Environment Research Center​ Ostrava (LERCO)";"Life&Environment Research Center Ostrava je nově budovaný vědeckovýzkumný hub, který umožní transformaci kraje z „uhelného” na „zdravější a chytřejší” region. Špičkově vybavená facilita a 8 excelentních výzkumných týmů projektu umožní realizaci aktivit v ";1847,3;"?";"?";"ANO"
"Moravskoslezský";"Slezská univerzita v Opavě";"Vysoké školy a výzkumné organizace";"EDEN Karviná - výzkumný a vzdělávací park";"Cílem projektu je podpora obnovy průmyslově poškozené krajiny na území určené pro udržitelné pěstování rostlin, obnovu původních druhů flóry a fauny a návazného využití rekultivované krajiny pro výzkumné, vzdělávací a volnočasové aktivity. Pro tyto účely ";2980;"?";"?";"ANO"
"Moravskoslezský";"GreenIN s.r.o.";"MSP (0–249)";"GreenIN - industriální park Jan-Karel";"Cílem projektu je vybudovat základní zázemí pro nové využití důlního brownfieldu v lokalitě bývalého dolu ČSA. Podstatou řešení je nová infrastruktura pro udržitelné podnikání, rekonstrukce části historického centra důlního areálu, vytvoření ploch pro vol";725;"?";"?";"NE"
"Moravskoslezský";"GreenIN s.r.o.";"MSP (0–249)";"GreenIN - industriální park Lazy";"Projekt se zabývá novým využitím brownfieldu po bývalém dolu Lazy v Orlové. Dobývání na dole Lazy bylo ukončeno v listopadu 2019. Podstatou řešení je nová infrastruktura pro udržitelné podnikání, rekonstrukce části historického centra důlního areálu, vytv";613;"?";"?";"NE"
"Moravskoslezský";"Liberty Ostrava a.s.";"VP (250+)";"Nová studená válcovna pásů";"Projekt zahrnuje výstavbu nové válcovny pásů za studena, ve které bude vytvořeno 239 přímých pracovních míst a očekává se vytvoření cca 1000 dalších pracovních míst v navazujících společnostech. Válcovna za studena  bude dále zpracovávat a zhodnocovat při";6372;"?";"?";"NE"
"Moravskoslezský";"Liberty Ostrava a.s.";"VP (250+)";"ZAŘÍZENÍ PRO SPRÁVU ŠROTU";"Základním projektem pro naplnění vize výroby uhlíkově nízkoemisní oceli v LO v roce 2029 je ""Modernizace ocelárny"" představující výstavbu 2 hybridních pecí k náhradě současných 4 tandemových pecí. Hybridní pec kombinuje možnosti procesu foukání kyslíku a ";803;"?";"?";"NE"
"Moravskoslezský";"Vysoká škola báňská - TUO";"Vysoké školy a výzkumné organizace";"REFRESH";"Projekt REFRESH nabízí nadregionální řešení technologických a společenských výzev v prioritních oblastech obnovitelné energie, environmentálních aplikací, digitalizace v duchu Průmyslu 4.0, dopravy, IT a materiálového výzkumu s výrazným dopadem na hospodá";3994;"?";"?";"ANO"
"Moravskoslezský";"Liberty Ostrava a.s.";"VP (250+)";"Rekultivace VKB 11 a výstavba FVE na jejím území ";"Jádrem projektu je demolice současných objektů velkoprostorové koksárenské baterie VKB 11 spolu s demolicí dalších souvisejících stavebních objektů/zařízení a následná příprava území. Uvolněná významná plocha 108 000 m2 v areálu Liberty Ostrava bude obnov";336,4;"?";"?";"NE"
"Moravskoslezský";"Liberty Ostrava a.s.";"VP (250+)";"Výstavba fotovoltaické elektrárny";"Cílem tohoto projektu je výstavba fotovoltaické elektrárny na vybraných lokalitách LIBERTY OSTRAVA. Vyrobená energie bude využita pro výrobu tzv. zeleného vodíku, který nahradí uhelnou a koksovou vsázku pro vysokou pec a zároveň může být využita pro vlast";2372;"?";"?";"NE"
"Moravskoslezský";"Liberty Ostrava a.s.";"VP (250+)";"CENTRUM PRO TECHNOLOGIE GREEN STEEL ";"Cílem projektu je vznik vzdělávacího Centra pro technologie Green Steel, jehož základ spočívá v modernizaci a rekonstrukci současného střediska. Vzdělávací akademie zahrnuje: vzdělávání a rekvalifikace v oblasti výroby zelené oceli, přeškolování zaměstnan";255,9;"?";"?";"NE"
"Moravskoslezský";"Liberty Ostrava a.s.";"VP (250+)";"Modernizace řídících systémů Válcoven dlouhých výrobků";"Cílem projektu je udržení pracovních míst ve válcovnách profilů a drátů Liberty Ostrava a.s. (LO) zajištěním dalšího provozu kontidrátové válcovny a válcovny hrubých profilů , a to nahrazením  zastaralých řídících systému těchto válcovacích tratí za moder";229,4;"?";"?";"NE"
