"KRAJ";"ŽADATEL";"KATEGORIE";"PROJEKT";"POPIS";"NÁKLADY";"DOTACE %";"DOTACE";"STRATEGICKÝ"
"Moravskoslezský";"VŠB - TUO";"Vysoké školy a výzkumné organizace";"Gest-Net : Underground lab";"Projekt GEST-NET - Underground Lab je součástí plánu rozvoje VŠB-TUO – SMARAGD. Navazuje na historické zaměření HGF VŠB-TUO s cílem transformace výukových programů a vědecké činnosti na nové obory. Projekt je umístěn na bývalém dole Staříč II a představuj";2001,6;"?";"?";"NE"
"Moravskoslezský";"TŘINECKÉ ŽELEZÁRNY, a. s.";"VP (250+)";"KOLEJNICE PRO 21. STOLETÍ";"Podstatou projektu je realizace technologie tepelného zpracování kolejnic  (projekt TZK), díky níž budou vykazovat vyšší mechanickou odolnost a celkovou  životnost. Tato produktivní investice umožní vyrábět kolejnice potřebných parametrů pro stavby modern";721,7;"?";"?";"NE"
"Moravskoslezský";"Green Gas DPB, a.s. + Technoprojekt, a.s. + Diamo s.p.";"MSP (0–249)";"Centrum pokročilých technologií s využitím čisté energie Staříč a Chlebovice.";"Konverze dvou významných brownfieldů z původní důlní činnosti na novou činnost s pokrokovými technologiemi v rámci výstavboy  centra s důrazem na využívání čisté energie zaměstnávající 800 odborníků s návazující zaměstnaností 700 lidí. Stávající areály do";650;"?";"?";"NE"
"Moravskoslezský";"Tawesco s.r.o.";"VP (250+)";"Transformace TWS v areálu Tatra Kopřivnice";"Předmětem investice je transformace společnosti Tawesco spočívající v zásadní modernizaci, centralizaci výroby, nastartování digitální transformace a ekologizace výroby. Celý transformační projekt tvoří jeden integrovaný strategický projekt, ale zároveň j";2108;"?";"?";"NE"
"Moravskoslezský";"TŘINECKÉ ŽELEZÁRNY, a. s. ";"VP (250+)";"TRÉNINKOVÉ CENTRUM JAVOR";"Třinecké železárny se vydaly na cestu k uhlíkově neutrální ekonomice prostřednictvím projektu Green Werk, který navazuje na strategické záměry rozvoje MSK.  Jeho součástí je vytvoření nových pracovních míst a modifikace těch stávajících s ohledem zejména ";281;"?";"?";"NE"
"Moravskoslezský";"MUSEum+, s.p.o. ";"Veřejně prospěšná činnost (neziskovky)";"MUSEum+. Národní experimentální platforma pro sdílení, digitalizaci a využití sbírek a rozvoj kulturních a kreativních průmyslů. ";"Projekt MUSEum+ vznikl z potřeby přispět k restartu strukturálně postiženého regionu a napravit absenci národní muzejní infrastruktury v Ostravě.  Cílem je vybudování inovativního státního muzea nového typu vyvíjejícího metody práce s využitím moderních t";1999,7;"?";"?";"ANO"
"Moravskoslezský";"Ostravská univerzita";"Vysoké školy a výzkumné organizace";"Podpora učitelství a výzkumu v oblasti vzdělávání v Moravskoslezském kraji (POUČ)";"Záměrem projektu je inovace pregraduální přípravy studentů učitelských programů, která bude spočívat v masivních změnách v koncepci studijních programů s využitím digitálních technologií, virtuální reality a blended learning. Změny budou realizovány s důr";222;"?";"?";"NE"
"Moravskoslezský";"MSIC, a.s.";"Kraj a jejich PO vč. agentur";"T-PARK UPGRADE: modernizace a rozšíření technologického parku";"MSIC provozuje technologický park v Ostravě-Porubě. Jeho kapacity jsou plně obazeny.Řada firem rychle roste.Současně se každým rokem zvyšuje poptávka po kapacitách TP od dalších firem, včetně vývojových center globálních firem.Cílem projektu je (i) rozšíř";1800;"?";"?";"NE"
"Moravskoslezský";"Ostravská univerzita";"Vysoké školy a výzkumné organizace";"City Campus OU lives";"OU City Campus Lives je zaměřen na využití  vznikajícího zázemí sportu a kultury Ostravské univerzity v centru Ostravy pro kulturní a sportovní aktivity určené široké veřejnosti MSK.  Cílem projektu je přispět k oživení centra Ostravy prostřednictvím spor";159,9;"?";"?";"NE"
"Moravskoslezský";"VAE CONTROLS, s. r. o.";"MSP (0–249)";"Výstavba závodu pro recyklaci vysloužilých letadel a využití získaného materiálu";"Hlavním cílem projektu je výstavba závodu na recyklaci vysloužilých letadel a využití získaného materiálu v areálu letiště Ostrava - Mošnov. Projekt vytvoří nová pracovní místa, podpoří opětovné využívání a recyklaci materiálů, svým zaměřením a produkcí p";399;"?";"?";"NE"
"Moravskoslezský";"Veolia Energie ČR, a.s.";"VP (250+)";"Výroba zeleného vodíku ve Frýdku-Místku a Krnově pro využití v dopravě a teplárenství";"Výroba zeleného vodíku ve stávajících teplárnách v Krnově a Frýdku-Místku. ";788;"?";"?";"NE"
"Moravskoslezský";"VŠB – TU Ostrava, Centrum energetických a environmentálních technologii, Výzkumné energetické centrum";"Vysoké školy a výzkumné organizace";"EKOLOGICKÁ STANICE PRO VOZIDLA S ALTERNATIVNÍM POHONEM";"Hlavním cílem projektu je výstavba a provoz ekologické čerpací stanice, která bude v koncepci vodík, rychlé elektro nabíjení a CNG. Hlavní součástí čerpací stanice bude technologie pro výrobu zeleného vodíku elektrolýzou, jeho kompresi, skladování a distr";261,7;"?";"?";"NE"
"Moravskoslezský";"DIAMO, s.p.";"Organizační složky státu ";"Realizace opatření nezbytných pro další využití území na Ostravsko-karvinsku";"Záměrem projektu je realizace činností zajišťujících bezpečnost v území po ukončení dobývání ložiska černého uhlí v ostravsko-karvinském revíru. Jedná se zejména o ochranu povrchu před účinky metanu vystupujícího ze zlikvidovaných dolů. Dále se jedná o če";815;"?";"?";"NE"
"Moravskoslezský";"DIAMO, s.p.";"Organizační složky státu ";"Obnova lokalit po těžbě uhlí - OKR - jih";"Projekt zahrnuje obnovu lokalit po těžbě uhlí (tj. likvidaci dolů a povrchových areálů, a dále sanaci a rekultivaci souvisejících pozemků), která umožní pozdější konverzi lokalit (tj. adaptaci staveb, technologií a pozemků pro jiné využití). Projekt zahrn";735;"?";"?";"NE"
"Moravskoslezský";"DIAMO, s.p.";"Organizační složky státu ";"Obnova lokalit dolu Darkov";"Projekt zahrnuje obnovu lokalit po těžbě uhlí (tj. likvidaci dolů a povrchových areálů, a dále sanaci a rekultivaci souvisejících pozemků), která umožní pozdější konverzi lokalit (tj. adaptaci staveb, technologií a pozemků pro jiné využití). Projekt zahrn";580;"?";"?";"NE"
"Moravskoslezský";"Statutární město Karviná";"Obce a jejich PO";"Community HUB – Identita jako potenciál pohornické krajiny";"Projekt usiluje o vytvoření zázemí pro komunitu a její aktivity participativní revitalizací brownfieldu bývalé konírny, mléčnice a přilehlého území. Udržitelná infr. je postavená na principech New European Bauhaus. Vytvoří platformu pro rozvoj kulturních,";451,5;"?";"?";"NE"
"Moravskoslezský";"Liberty Ostrava a.s.";"VP (250+)";"Výroba a vstřikování H2 do VP";"Evropská unie na cestě ke klimatické neutralitě do roku 2050 bude muset investovat do technologických řešení pro snižování emisí skleníkových plynů. Cílem tohoto projektu je implementovat inovativní technologii, která umožňuje vstřikovat plynný vodík do v";3454,8;"?";"?";"NE"
"Moravskoslezský";"SMOLO a.s";"MSP (0–249)";"Technologie materiálového využití a energetické transformace odpadů";"Projektový záměr firmy SMOLO a.s. spočívá v třídění, úpravě a transformaci celkem 150 až 200 tisíc tun směsného komunálního odpadu, objemného odpadu, některých nebezpečných odpadů a dalších zbytkových či obtížně recyklovatelných odpadů, které obsahují pře";6512;"?";"?";"NE"
"Moravskoslezský";"Slezská univerzita v Opavě";"Vysoké školy a výzkumné organizace";"CEPIS -  „Centrum podnikání, profesních a mezinárodních studií“  (Centre for Entrepreneurship, Professional and International Studies).";"Slezská univerzita v Opavě (SLU) a Obchodně podnikatelská fakulta v Karviné (OPF) má ambici vytvořit unikátní prostor a prostředí pro podporu vzdělávání, inovací a podnikání. Vybudováním centra CEPIS dojde k vytvoření zázemí pro podporu inovací a výuku at";619,5;"?";"?";"ANO"
"Moravskoslezský";"PDI a.s.";"MSP (0–249)";"PODOLUPARK Karviná";"Projekt je postaven na principech Smart City, udržitelného stavitelství a moderního řešení odpadového hospodářství, kde je odpad zdrojem. Hlavním inovativním prvkem projektu je technologie plazmového zplyňování uplatňující se v odpadovém hospodářství a vý";7400;"?";"?";"ANO"
"Moravskoslezský";"Sdružení pro POHO Park";"Veřejně prospěšná činnost (neziskovky)";"POHO Park";"Cílem projektu je revitalizace areálu bývalého dolu Gabriela na nové centrum Pohornické krajiny, tzv. kampus. Ten nabídne potřebné zázemí pro návštěvníky nejen samotného kampusu (široká a odborná veřejnost), ale také pro návštěvníky přilehlého kostela sv.";503;"?";"?";"ANO"
"Moravskoslezský";"Veolia Energie ČR, a.s.";"VP (250+)";"Revitalizace odkaliště Elektrárny Třebovice a vybudování rozvojové zóny pro termicky náročné technologie s využitím odpadního tepla";"Projekt bude realizován v blízkém okolí Elektrárny Třebovice (dále ETB) a je zaměřený na komplexní řešení ekologizace technologií energetického zdroje s konečným cílem připravit zónu pro umístění firem, které pro efektivní provoz technologických celků a k";255;"?";"?";"NE"
"Moravskoslezský";"Technoprojekt a.s.";"MSP (0–249)";"GREEN INNOVATION PARK PASKOV";"Vybudování kompletní infrastruktury pro nový inovační park 15ha na místě současného brownfieldu v Paskově, části Oprechtice vč. hybridní elektrárny pro potřebu soběstačnosti. Následně doplnění ekosystému MSK v olasti RIS o nové prostory, přímá vazba na MS";450;"?";"?";"NE"
"Moravskoslezský";"Liberty Ostrava a.s.";"VP (250+)";"Zvýšení kapacity lokální distribuční soustavy v Ostravě";"Cílem projektu je posílení el. příkonu lokální distribuční sítě (LDS) v Ostravě provozované nositelem projektu, a to vybudováním nového vedení zvláště vysokého napětí 400 kV (dále jen „vedení ZVN“) napojeného na přenosovou soustavu ČEPS. Díky tomuto novém";963;"?";"?";"NE"
"Moravskoslezský";"PowRev s.r.o.";"MSP (0–249)";"Energolab - Modernizace a rozvoj rozvodných sítí a energetických zdrojů";"Projekt navrhuje vyvinout a vybudovat nad stávajícími sítěmi infrastrukturu měření, diagnostiky a optimalizace zdrojů, zátěží a akumulace energie za účelem efektivního využití rozvodné soustavy, udržení její stability a spolehlivosti dodávek a současně za";233;"?";"?";"NE"
"Moravskoslezský";"Konsorcium kolem Vysoké školy PRIGO, z.ú.";"Vysoké školy a výzkumné organizace";"Výzkumné a inovační centrum pro spravedlivou transformaci SM Havířova a jeho okolí";"Cílem projektu je v souladu se strategickými dokumenty MSK, ČR i EU vybudovat ve slezské části MSK, konkrétně ve SM Havířově a přilehlých obcích excelentní pracoviště pro výzkum a inovace, které bude začleněno do organizační struktury Vysoké školy PRIGO. ";202,6;"?";"?";"NE"
"Moravskoslezský";"Moravskoslezský pakt zaměstnanosti, z.s.";"Kraj a jejich PO vč. agentur";"TRAUTOM";"Region čelí strukt. změně, ve které probíhá odklon od tradičního průmyslu (těžba uhlí a napojené aktivity) a také transformace důležitých rozvoj. odvětví kraje, jako je automob. průmysl, či celý ekosystém mobility, přispívající k plnění Zelené dohody. Roz";700;"?";"?";"ANO"
"Moravskoslezský";"Moravskoslezský pakt zaměstnanosti, z.s.";"Kraj a jejich PO vč. agentur";"KOMPETENCE PRO 21. STOLETÍ ";"KOMPETENCE PRO 21. STOLETÍ jsou zaměřeny na zvýšení kvalifikace, rekvalifikaci a usnadnění přechodu zaměstnanců či zájemců o zaměstnání z ohrožených profesí na nové kvalitnější uplatnění v rámci či mimo stávající odvětví. Do konce roku 2026 bude podpořeno";500;"?";"?";"ANO"
"Moravskoslezský";"ENERGETIKA TŘINEC, a.s.";"VP (250+)";"Přípojka VVN - Rozvoj lokální distribuční sítě";"Posílení elektrického příkonu lokální distribuční sítě provozované nositelem projektu (LDS ET), a to vybudováním nové distribuční přípojky velmi vysokého napětí 400 kV napojené na přenosovou soustavu ČEPS. Dojde k rozvoji LDS ET z hlediska navýšení kapaci";1500;"?";"?";"NE"
"Moravskoslezský";"Asental Land s.r.o.";"MSP (0–249)";"Rekreační a sportovní zóna Karvinské moře";"Vytvoření rekreačního centra, které by soustřeďovalo rekreační aktivity přímo související s využitím jezera a jeho bezprostředního okolí (přechodné ubytování, plavání, jachting, windsurfing, kitesurfing, rybolov, hudební a kulturní akce), a současně propo";220;"?";"?";"NE"
"Moravskoslezský";"Statutární město Karviná";"Obce a jejich PO";"Smart Park Karviná";"Na katastru Karviné, která dlouhodobě trpí odlivem obyvatel za prací, je řada nepřipravených ploch pro investice. Omezení migrace je podmíněno vytvořením podmínek pro rozvoj podnikání. Cílem projektu je realizace Smart Parku vybaveného potřebnou infrastru";399,4;"?";"?";"NE"
"Moravskoslezský";"ECOCOAL, s.r.o.";"MSP (0–249)";"Využití prostoru bývalého odvalu dolu Šverma";"Využití prostoru bývalého odvalu dolu Šverma pro nový OZE (obnovitelný zdroj energie) doplněný bioplynovou kogenerační jednotkou s využitím tepelné energie. Část elektrické energie pro provoz hydroponického skleníkového hospodářství s klimatizovanými skla";400,5;"?";"?";"NE"
"Moravskoslezský";"Krajské sdružení NS MAS ČR Moravskoslezského kraje";"Veřejně prospěšná činnost (neziskovky)";"Síť komunitně vedených animačních hubů pro spravedlivou transformaci venkovských oblastí Moravskoslezského kraje na klimaticky neutrální ekonomiku (HUB-NET-KOM)";"Smyslem projektu je vybudování funkční poradenské sítě (HUB-NET), která bude animovat venkovská území a naplňovat vytčené cíle v tematických oblastech Transformačního plánu Moravskoslezského kraje. Projekt je zaměřen na iniciaci transformačních procesů, a";108;"?";"?";"NE"
"Moravskoslezský";"Green Gas RE,s.r.o.";"MSP (0–249)";"Green Energy Park Sviadnov";"Příprava území, konverze brownfieldu s  následnou výstavbou výrobních a skladovacích kapacit s důrazem na využívání čisté energie zaměstnávající 150 odborníků. Stávající areál dolu Staříč ve Sviadnově  nabízí možnost využití cca 6 ha území a z toho 4 ha p";350;"?";"?";"NE"
"Moravskoslezský";"Ostravská kreativní s.r.o.";"Veřejně prospěšná činnost (neziskovky)";"Kulturně kreativní infrastruktura Moravskoslezského kraje";"Hlavním cílem projektu je do konce roku 2025 posílit kulturně kreativní (KK) infrastrukturu a pozvednout kulturně kreativní sektor (KKS) na celém území MSK. Výsledkem bude vybudování: A1) 1 KK akcelerátoru v Ostravě-Hrušově, A2) 1 KK inkubátoru v Ostravě,";569,6;"?";"?";"NE"
"Moravskoslezský";"VISTA BONA, a.s.";"MSP (0–249)";"Zábavní a naučný rodinný park Doubrava";"Jedná se o zábavní rodinný park s důrazem na přírodní charakter. Jde o kombinaci dětských herních prvků, naučných stezek a přírodně edukačních prvků. Rovněž zde budou výběhy se zvířaty jak pro pozorování, tak pro přímý kontakt. Součástí dále bude volnočas";210;"?";"?";"NE"
"Moravskoslezský";"SKATLOP a.s.";"VP (250+)";"Revitalizace brownfieldů na závod pro výrobu  lithiových baterií";"Revitalizace areálu brownfieldu bývalé slévárny oceli v Ostravě-Vítkovicích a následná výstavba závodu  na výrobu lithiových baterií. Vyráběné baterie budou využívány pro fotovoltaické elektrárny pro rodinné domky a menší provozovny. Vyráběny budou bateri";500;"?";"?";"NE"
"Karlovarský";"Karlovarský kraj";"Kraj a jejich PO vč. agentur";"Karlovarské inovační centrum (KIC)";"Jedná se o vybudování inovační infrastruktury, jejímž cílem je zvýšení intenzity výzkumných, vývojových a inovačních aktivit v Karlovarském kraji mezi podnikatelskými subjekty, veřejným sektorem a výzkumnými pracovišti. Projekt zahrnuje výstavbu víceúčelo";500;85%;425;"ANO"
"Karlovarský";"Karlovarský kraj";"Kraj a jejich PO vč. agentur";"Kulturní a kreativní odvětví - Krajská kulturní a kreativní kancelář - 4K";"Cílem projektu je zvýšit podnikavost zejména mladých lidí a v oborech, které budou v kraji užitečné, tedy podpořit ekonomickou transformaci kraje. Podpora kreativity zároveň povede ke zvyšování předpokladů dětí a studentů k dalšímu studiu a k rozvoji jeji";186,3;85%;158,355;"ANO"
"Karlovarský";"Město Aš";"Obce a jejich PO";"vl:aštovka";"vl:aštovka je projekt, který je zárodkem budoucí změny v Aši a širokém okolí. Zahrnuje několik úrovní transformace. vl:aštovka kapitálově i lidsky zajistí podporu nového i stávajícího podnikání, podporu zaměstnanosti, lákání a vzdělávání lidí a edukaci dě";194,7;85%;165,495;"ANO"
"Karlovarský";"Karlovarský kraj";"Kraj a jejich PO vč. agentur";"Krajský Business Park Sokolov (KBPS)";"Cílem projektu je vytvořit prostředí a pro-rozvojové předpoklady, které umožní zásadně transformovat centrum Sokolova. Nový multifunkční areál s nadregionálním významem bude svou atraktivitou a přesahem lákat investory, podporovat inovace, rozvíjet ekonom";450;85%;382,5;"ANO"
"Karlovarský";"Karlovarský kraj";"Kraj a jejich PO vč. agentur";"Rekonstrukce a modernizace Střední uměleckoprůmyslové školy keramické a sklářské Karlovy Vary";"Díky projektu dojde k vytvoření podmínek pro rozvoj tradičních odvětví se zaměřením na keramiku, sklo a porcelán, která jsou v rámci kraje jedinečná, pro inovaci vzdělávacího obsahu a rozvoj kreativních oborů a oborů se zaměřením na ekologii a životní pro";680;85%;578;"ANO"
"Karlovarský";"Karlovarský kraj";"Kraj a jejich PO vč. agentur";"Agentura pro transformaci Karlovarského kraje";"Cílem projektu je zajistit institucionalizovanou podporu transformace Karlovarského kraje prostřednictvím agentury Karlovarského kraje, která bude poskytovat metodickou, znalostní, analytickou a konzultační podporu všem aktérům dle modelu quadruple helix ";216,9;85%;184,365;"ANO"
